copy_id,driver1_y,driver2_y,driver3_y,driver4_y,driver5_y,driver6_y,driver7_y,driver8_y,driver9_y,driver10_y,driver11_y,driver12_y,driver13_y,driver14_y,driver15_y,driver16_y,driver17_y,driver18_y,driver19_y,driver20_y,driver21_y,driver22_y,driver23_y,driver24_y
346_1,7,4,25,20,10,3,11,19,25,8,15,12,25,14,18,25,1,16,6,17,2,13,9,5
347_1,12,3,25,9,25,8,25,25,15,6,2,11,7,1,18,13,5,17,10,25,4,19,14,16
348_1,3,8,17,19,5,25,13,25,7,25,4,12,25,2,16,9,1,15,6,14,25,18,11,10
349_1,15,25,25,7,9,6,20,25,12,5,4,13,3,25,18,8,2,19,14,16,1,17,11,10
34_1,2,8,25,14,25,5,25,25,9,6,13,17,25,15,12,11,7,3,25,4,1,25,16,10
350_1,10,4,25,9,20,1,19,25,11,6,25,15,17,18,3,7,2,16,13,8,5,25,14,12
351_1,4,3,25,13,11,25,6,25,14,25,25,12,16,5,7,25,9,8,10,1,25,15,25,2
352_1,9,1,25,10,25,8,6,25,7,2,13,15,12,25,14,25,4,25,25,3,5,25,11,16
353_1,12,25,25,6,10,9,7,14,4,25,25,25,13,25,5,11,25,3,8,1,2,25,15,25
354_1,5,2,25,25,8,17,14,21,22,19,20,13,18,6,9,11,12,15,10,3,4,16,7,1
355_1,3,8,25,20,18,11,12,25,9,21,25,14,17,4,5,16,13,10,6,7,2,19,15,1
35_1,8,1,25,13,25,10,9,25,18,11,14,15,7,12,17,25,6,3,25,2,5,25,4,16
37_1,10,7,25,6,25,4,16,25,15,5,18,17,8,25,3,9,25,13,14,1,2,25,11,12
39_1,13,25,25,9,25,25,11,25,25,1,4,25,7,6,25,25,5,8,14,3,2,25,10,12
3_1,25,16,25,2,25,12,17,25,1,13,11,14,5,15,25,4,7,10,8,9,6,25,3,25
40_1,25,15,25,18,19,6,11,25,10,3,5,16,13,12,8,7,14,17,9,1,2,25,4,25
42_1,12,7,25,9,25,25,8,25,10,6,25,13,5,16,4,15,14,3,25,2,1,25,17,11
43_1,12,17,25,11,25,5,6,25,14,2,4,25,15,9,1,25,13,16,25,7,3,25,10,8
44_1,25,25,25,25,25,6,10,25,9,5,4,25,7,12,1,16,11,14,13,2,3,15,8,25
45_1,12,3,25,25,25,6,11,25,25,5,25,25,25,1,7,25,13,2,25,8,9,25,4,10
46_1,17,10,25,25,14,3,25,25,12,13,5,18,8,7,2,6,11,15,25,4,1,25,16,9
47_1,21,16,25,14,11,4,13,25,9,1,8,17,6,7,2,12,10,18,15,3,5,20,19,25
48_1,9,19,25,18,20,4,14,25,10,25,5,15,7,6,3,17,11,16,13,1,2,25,12,8
49_1,14,11,25,16,17,5,25,25,13,2,9,10,8,6,1,12,25,15,25,3,4,25,25,7
4_1,14,10,25,11,25,19,16,25,2,18,13,15,12,9,25,5,7,6,17,8,4,25,1,3
50_1,8,13,25,25,25,14,11,25,5,6,7,10,2,25,3,25,4,15,9,25,1,12,25,25
51_1,25,13,25,25,12,7,5,25,11,3,25,15,9,16,1,25,8,14,6,2,25,17,4,10
52_1,8,9,25,25,25,6,25,25,25,12,1,25,25,4,10,11,2,5,13,3,7,25,14,25
55_1,9,25,25,25,25,1,25,25,13,7,10,6,8,2,25,25,3,5,25,12,4,25,25,11
56_1,9,10,25,1,25,11,15,25,25,7,25,16,25,2,4,25,8,6,12,5,13,25,3,14
57_1,25,5,25,1,25,7,13,25,25,25,9,12,25,2,3,8,6,25,25,4,10,25,25,11
58_1,7,3,25,25,12,11,15,25,2,9,14,25,17,1,4,13,6,10,16,5,8,25,25,25
